SPD,CDU,GRÜNE,FDP,PIRATEN,DIE LINKE,NPD,Die PARTEI,FREIE WÄHLER,BIG,FBI/FWG,ÖDP,Volksabstimmung,TIERSCHUTZliste,AD-Demokraten NRW,AfD,AUFBRUCH C,BGE,DBD,DKP,ZENTRUM,DIE RECHTE,REP,DIE VIOLETTEN,JED,MLPD,Gesundheitsforschung,Schöner Leben,V-Partei³
-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,-1,1
-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,-1,0,-1,-1,1,-1,-1,0,-1,-1,0,1,1
1,1,0,1,0,-1,-1,0,1,-1,-1,-1,1,0,-1,1,-1,0,-1,-1,1,1,1,-1,0,-1,0,1,-1
1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
1,1,0,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,0,1,-1,1,1,1,0,1,-1,0,0,0
-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1,-1,1,-1,1,0,0,1
1,1,1,-1,-1,1,1,1,1,0,1,1,1,1,1,0,-1,0,-1,1,-1,1,-1,1,-1,1,0,1,1
1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,-1,1,1,1,0,1,1
0,1,0,1,-1,-1,-1,0,0,-1,-1,1,-1,1,-1,1,-1,0,0,-1,1,-1,1,-1,-1,-1,0,0,1
0,0,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,0,1,1
-1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,0,0,1,1,-1,0,1,1,-1,1,0,0,1
-1,1,-1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,1,0,1,-1,1,1,1,-1,1,0,0,1,1
1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,0,1,1,0,-1,-1,1,1,1,0,1,1
-1,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,1,-1,1,0,1,-1
1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,-1,-1,1,0,-1,1,-1,-1,0,0,1,0,0,1,1
-1,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,1,-1,-1,-1,-1,-1,0,-1,-1
1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,-1,0,0,0,1,1,-1,-1,-1,1,1,1,0,1,1
1,1,1,1,1,1,-1,1,1,1,0,1,-1,1,1,-1,1,0,1,1,-1,-1,-1,1,1,1,0,1,1
1,-1,1,-1,1,1,1,1,0,1,-1,1,1,1,1,0,-1,0,1,1,1,-1,0,1,0,1,0,1,1
-1,1,-1,1,-1,-1,-1,0,1,1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,0,-1
1,1,1,1,0,-1,1,0,1,1,1,1,1,0,-1,0,1,0,1,-1,1,-1,1,-1,1,-1,0,-1,-1
-1,-1,0,-1,1,1,0,1,-1,-1,-1,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,0,1,-1,1,0,1,-1
-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1
-1,-1,0,-1,0,1,-1,1,-1,0,-1,0,-1,0,1,-1,-1,0,-1,1,-1,1,1,1,-1,1,0,1,1
1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,0,1,1
1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,0,-1,-1,-1,0,-1,1,-1,1,-1,1,1,1,0,1,1
-1,1,-1,1,-1,-1,-1,0,0,1,-1,0,-1,1,-1,-1,-1,0,-1,-1,0,-1,-1,0,1,0,0,-1,1
-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,0,-1,-1
-1,1,-1,1,-1,0,1,0,-1,1,1,0,1,1,1,1,1,0,-1,-1,-1,1,-1,1,1,1,0,1,1
-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,1,1,0,1,-1
-1,0,-1,1,-1,-1,-1,0,0,-1,1,-1,1,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,0,0,-1
0,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,0,-1,0,-1,1,-1,0,0,-1
0,1,-1,-1,-1,-1,0,0,1,1,1,0,-1,1,1,-1,0,0,1,-1,1,-1,1,1,-1,-1,0,-1,-1
-1,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,0,1,-1,1,1,1,1,-1,-1,0,1,-1
1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,0,1,0,1,1,-1,-1,-1,1,1,1,0,1,1
1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
